,UNITID,TYPE,1516_ASSETS,1516_EXPENSES,1516_REVENUE,1516_RESEARCH,1415_ASSETS,1415_EXPENSES,1415_REVENUE,1415_RESEARCH,1314_ASSETS,1314_EXPENSES,1314_REVENUE,1314_RESEARCH,1213_ASSETS,1213_EXPENSES,1213_REVENUE,1213_RESEARCH,1112_ASSETS,1112_EXPENSES,1112_REVENUE,1112_RESEARCH,1011_ASSETS,1011_EXPENSES,1011_REVENUE,1011_RESEARCH,0910_ASSETS,0910_EXPENSES,0910_REVENUE,0910_RESEARCH,0809_ASSETS,0809_EXPENSES,0809_REVENUE,0809_RESEARCH,0708_ASSETS,0708_EXPENSES,0708_REVENUE,0708_RESEARCH,0607_ASSETS,0607_EXPENSES,0607_REVENUE,0607_RESEARCH,0506_ASSETS,0506_EXPENSES,0506_REVENUE,0506_RESEARCH,0405_ASSETS,0405_EXPENSES,0405_REVENUE,0405_RESEARCH,0304_ASSETS,0304_EXPENSES,0304_REVENUE,0304_RESEARCH,0203_ASSETS,0203_EXPENSES,0203_REVENUE,0203_RESEARCH,0102_ASSETS,0102_EXPENSES,0102_REVENUE,0102_RESEARCH
828,193399,not-for-profit,65681175.0,45235971.0,46455783.0,0,64061363.0,46250922.0,50581317.0,0,56371233.0,44115893.0,52022800.0,0,48464326.0,42266541.0,46095872.0,0,44634995.0,40633691.0,43746177.0,0,41522509.0,39151794.0,42397533.0,0,38276770.0,35882114.0,39264383.0,0,34894501.0,34317228,35613051,0,33598678.0,33309221,33259407,0,33648492.0,29326666,34736098,42483,28239060.0,27107423,30438253,136230,26618781.0,26562034,31778572,241373,21402243.0,25139795,26616600,0,19925438,22191859,22566889,0,16609344.0,21046471.0,19533189.0,0.0
829,193405,not-for-profit,1014323000.0,2065782000.0,1955142000.0,390795662,1124963000.0,1734132000.0,1729838000.0,403271255,1129257000.0,1593004000.0,1682027000.0,375805274,1040234000.0,1492741000.0,1612018000.0,314955751,920957000.0,1412137000.0,1396354000.0,281956706,936740000.0,1329057000.0,1400002000.0,289848084,865795000.0,1206543000.0,1307632000.0,249399259,764706000.0,1136110000,975211000,228221563,925605000.0,1015014787,1152671000,191477469,787950000.0,948422000,1074016000,191655484,662356000.0,450268000,500128000,89884000,612496000.0,833235000,874757000,160898000,570974000.0,783077000,812085000,157714000,541966000,783529000,743473000,147118000,582022000.0,696594000.0,661284000.0,132755000.0
830,193584,not-for-profit,172125755.0,76454653.0,75809688.0,0,174024661.0,72558919.0,75512527.0,0,172178847.0,71115609.0,90413199.0,0,153138919.0,72709282.0,79073122.0,0,144224700.0,72317188.0,75221227.0,0,144080751.0,71419593.0,84559817.0,0,130599055.0,68457857.0,78392622.0,0,123668484.0,64521709,56642946,0,132356774.0,60935177,61381600,0,131786646.0,56115746,72315117,0,115786741.0,52763669,58004056,0,110546354.0,49524956,53953196,0,106118114.0,46301921,62007569,0,90412466,44051923,46301074,0,88163315.0,40613223.0,42193432.0,0.0
831,193609,not-for-profit,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1502771.0,1532676.0,0,,1491499,1709161,0,3726770.0,1422203,1644831,0,3949398.0,1362132,1664013,0,3647517.0,1287714,1323331,0,3611900.0,1231416,1636274,0,3207042.0,1250896,1276973,0,3180965,1195028,1401882,0,2974111.0,1123883.0,1000984.0,0.0
832,193645,not-for-profit,-22571362.0,68959228.0,54234152.0,0,25047336.0,58303010.0,54651183.0,0,28022500.0,60412717.0,58020544.0,0,29863599.0,61485009.0,59615205.0,0,30463201.0,61740857.0,60819566.0,0,33760371.0,59461873.0,61545912.0,0,31437412.0,56409378.0,56848730.0,0,32588976.0,60011204,57805771,0,36706538.0,59088616,59073905,0,36821723.0,57096350,60518294,0,34304372.0,56164670,57390597,0,32157868.0,54676180,55552561,0,30884611.0,53251598,54139176,0,28880529,48428271,49292757,0,27838201.0,47772610.0,47461324.0,0.0
833,193654,not-for-profit,526870000.0,371452000.0,356352000.0,15669000,541970000.0,357982000.0,378279000.0,10835000,521667000.0,330793000.0,413195000.0,9930000,439265000.0,307365000.0,318541000.0,9464000,428089000.0,310363000.0,306747000.0,10020000,431705000.0,301752000.0,337630000.0,9337000,395827000.0,281458000.0,313231000.0,8735000,364054000.0,265704000,233147000,8319000,396611437.0,256779411,261412562,8360900,391978286.0,232646423,305491844,12085863,318752704.0,219488144,257048924,10328944,281191924.0,196789650,233620464,8492044,244361110.0,182399275,207942872,9835056,218817513,167868731,186503419,7855177,200182825.0,152792198.0,161589328.0,5709352.0
834,193751,not-for-profit,50184319.0,28804017.0,29168834.0,410334,49819502.0,27787299.0,24840435.0,425062,52766366.0,26919503.0,33808405.0,415139,45877464.0,26495530.0,29983153.0,484731,42389841.0,24797418.0,25378460.0,507149,41808799.0,24476862.0,27555902.0,498745,38729759.0,23212650.0,24121017.0,722969,37821392.0,22355360,15095275,765369,45081477.0,21430902,17658837,773635,48853542.0,20838617,23787575,654357,45904584.0,19466206,21166890,426172,45007339.0,18193374,22002349,383819,41198364.0,16918144,19403737,558693,38733372,16037004,18063955,651228,37068941.0,16125199.0,12315426.0,764729.0
835,193821,not-for-profit,196474463.0,63493859.0,33167708.0,211000,239267879.0,70293025.0,59014094.0,211000,258488804.0,75143896.0,84224570.0,287000,249188130.0,79369958.0,96671316.0,353000,218848772.0,86287748.0,71120834.0,431000,251563686.0,85410745.0,118173447.0,477441,214090984.0,75950062.0,115350789.0,480873,198690257.0,74198452,18516646,602613,254372063.0,67236536,70429896,566091,251178703.0,61784636,104834826,529569,208128513.0,50470058,185197573,529569,73400998.0,45576224,55190406,533627,63786816.0,44050099,51794088,357104,56042827,38770813,43241691,326669,51571949.0,35008073.0,34184823.0,309549.0
836,193830,not-for-profit,174360366.0,128487172.0,114306525.0,15697250,188541013.0,135665911.0,129075995.0,16388166,195131570.0,145141401.0,149768656.0,16067312,190504315.0,142457376.0,148497146.0,17257009,184464545.0,144315811.0,146021686.0,19155129,182758670.0,209594303.0,221939814.0,22574439,57220738.0,212974970.0,214036535.0,20023185,59525392.0,215283542,195113513,20870335,81045164.0,209836200,201175116,22176921,89706248.0,202318836,199258132,29090391,93781632.0,198685569,197755595,25460431,95626324.0,202666829,196852353,29160334,86429800.0,200595829,193610026,26155458,93415603,195417899,188792720,21788561,100040782.0,181127427.0,178154640.0,18460718.0
837,193900,not-for-profit,5134217000.0,5548777000.0,5608126000.0,984702000,5076401000.0,5026117000.0,4927960000.0,931003000,5246465000.0,4607555000.0,5262554000.0,810884000,4501663000.0,3953776000.0,4376954000.0,704263000,4077693000.0,3830879000.0,3887698000.0,644027000,4020874000.0,3378458000.0,3736891000.0,565615000,3662441000.0,3196919000.0,3396102000.0,436605000,3463258000.0,3050744000,2646038000,356761000,3867964000.0,2841168000,2831789000,299373000,3877343000.0,2603313000,3771447000,273059000,2848207000.0,2402387000,2687337000,247724000,2563257000.0,2236615000,2432164000,246949000,2367708000.0,2049478000,2245120000,219838000,2172066000,2021253000,2074621000,226848000,2118698000.0,1849378000.0,1885754000.0,205990000.0
