Date,Open,High,Low,Close,Adj Close,Volume
1992-01-01,3152.100098,3213.330078,3139.310059,3204.800049,3204.800049,99960000
1992-01-08,3204.800049,3248.879883,3179.110107,3246.199951,3246.199951,125820000
1992-01-15,3246.199951,3279.959961,3215.340088,3223.399902,3223.399902,149790000
1992-01-22,3223.399902,3275.489990,3216.679932,3272.100098,3272.100098,110400000
1992-01-29,3272.100098,3299.189941,3213.550049,3272.800049,3272.800049,118020000
1992-02-05,3272.800049,3282.199951,3207.959961,3251.600098,3251.600098,109010000
1992-02-12,3251.600098,3286.000000,3219.139893,3224.699951,3224.699951,87010000
1992-02-19,3224.699951,3289.800049,3215.340088,3257.800049,3257.800049,114470000
1992-02-26,3257.800049,3295.620117,3254.469971,3290.300049,3290.300049,94570000
1992-03-04,3290.300049,3299.639893,3211.310059,3231.000000,3231.000000,96740000
1992-03-11,3231.000000,3260.060059,3188.280029,3256.000000,3256.000000,85190000
1992-03-18,3256.000000,3284.439941,3246.199951,3261.000000,3261.000000,103770000
1992-03-25,3261.000000,3276.389893,3226.520020,3235.500000,3235.500000,79970000
1992-04-01,3235.500000,3279.290039,3211.090088,3213.600098,3213.600098,101610000
1992-04-08,3213.600098,3322.229980,3161.229980,3306.100098,3306.100098,112120000
1992-04-15,3307.000000,3366.500000,3307.000000,3343.300049,3343.300049,95670000
1992-04-22,3343.300049,3361.810059,3283.989990,3307.899902,3307.899902,104660000
1992-04-29,3308.100098,3387.520020,3308.100098,3359.399902,3359.399902,100380000
1992-05-06,3360.000000,3440.669922,3353.530029,3385.100098,3385.100098,83210000
1992-05-13,3385.100098,3440.189941,3346.000000,3398.000000,3398.000000,90330000
1992-05-20,3398.000000,3404.340088,3356.439941,3364.199951,3364.199951,97050000
1992-05-27,3364.199951,3420.469971,3360.070068,3396.100098,3396.100098,105140000
1992-06-03,3396.100098,3422.280029,3359.550049,3369.899902,3369.899902,104610000
1992-06-10,3369.899902,3381.580078,3323.780029,3329.500000,3329.500000,101960000
1992-06-17,3329.500000,3329.750000,3254.050049,3285.600098,3285.600098,127230000
1992-06-24,3285.600098,3331.629883,3269.840088,3318.500000,3318.500000,97930000
1992-07-01,3318.800049,3373.889893,3291.389893,3295.199951,3295.199951,97750000
1992-07-08,3295.199951,3358.929932,3273.560059,3358.399902,3358.399902,94810000
1992-07-15,3358.399902,3364.330078,3287.060059,3308.399902,3308.399902,100310000
1992-07-22,3307.899902,3335.149902,3266.530029,3334.100098,3334.100098,92930000
1992-07-29,3334.100098,3402.959961,3334.090088,3384.300049,3384.300049,97680000
1992-08-05,3384.300049,3384.320068,3314.350098,3331.100098,3331.100098,95670000
1992-08-12,3331.100098,3342.179932,3306.790039,3329.500000,3329.500000,77570000
1992-08-19,3329.500000,3335.689941,3207.100098,3232.199951,3232.199951,91540000
1992-08-26,3232.199951,3274.100098,3225.469971,3266.260010,3266.260010,80350000
1992-09-02,3266.300049,3313.540039,3257.620117,3260.600098,3260.600098,70990000
1992-09-09,3260.600098,3376.489990,3258.159912,3327.300049,3327.300049,109400000
1992-09-16,3327.300049,3333.889893,3280.040039,3280.899902,3280.899902,108920000
1992-09-23,3280.899902,3294.899902,3242.760010,3266.800049,3266.800049,112510000
1992-09-30,3266.800049,3280.850098,3095.790039,3178.199951,3178.199951,118560000
1992-10-07,3178.199951,3211.959961,3131.719971,3201.399902,3201.399902,95950000
1992-10-14,3201.399902,3217.090088,3142.530029,3186.000000,3186.000000,144540000
1992-10-21,3186.000000,3251.399902,3174.679932,3235.699951,3235.699951,122550000
1992-10-28,3235.699951,3266.800049,3221.409912,3252.500000,3252.500000,117830000
1992-11-04,3252.500000,3268.149902,3215.199951,3225.500000,3225.500000,112540000
1992-11-11,3225.500000,3250.050049,3184.669922,3193.300049,3193.300049,100650000
1992-11-18,3193.300049,3265.989990,3191.429932,3248.699951,3248.699951,131200000
1992-11-25,3248.699951,3308.409912,3247.080078,3294.399902,3294.399902,90640000
1992-12-02,3294.399902,3323.540039,3268.959961,3322.199951,3322.199951,114380000
1992-12-09,3322.199951,3335.689941,3279.500000,3284.399902,3284.399902,102780000
1992-12-16,3284.399902,3328.939941,3248.159912,3321.100098,3321.100098,160320000
1992-12-23,3321.100098,3352.709961,3306.520020,3310.800049,3310.800049,71240000
1992-12-30,3310.800049,3328.669922,3298.679932,3307.899902,3307.899902,79320000
1993-01-06,3307.899902,3313.270020,3231.949951,3264.600098,3264.600098,157460000
1993-01-13,3264.600098,3285.169922,3243.840088,3256.000000,3256.000000,163080000
1993-01-20,3256.000000,3320.020020,3231.949951,3299.000000,3299.000000,167750000
1993-01-27,3299.000000,3334.879883,3274.909912,3328.699951,3328.699951,137460000
1993-02-03,3328.899902,3456.729980,3328.899902,3414.600098,3414.600098,163250000
1993-02-10,3414.600098,3442.679932,3304.620117,3309.500000,3309.500000,117470000
1993-02-17,3309.500000,3353.520020,3266.800049,3323.270020,3323.270020,164940000
1993-02-24,3323.300049,3400.800049,3322.179932,3400.530029,3400.530029,123730000
1993-03-03,3400.500000,3482.120117,3388.909912,3472.120117,3472.120117,135010000
1993-03-10,3472.100098,3479.689941,3403.770020,3442.949951,3442.949951,112240000
1993-03-17,3443.000000,3477.530029,3422.959961,3461.860107,3461.860107,127290000
1993-03-24,3450.500000,3478.340088,3430.250000,3457.270020,3457.270020,138810000
1993-03-31,3457.300049,3470.770020,3363.790039,3377.570068,3377.570068,169810000
1993-04-07,3377.600098,3450.780029,3372.979980,3444.030029,3444.030029,124560000
1993-04-14,3444.000000,3481.580078,3420.250000,3443.489990,3443.489990,141360000
1993-04-21,3443.500000,3471.040039,3383.239990,3415.929932,3415.929932,146200000
1993-04-28,3415.899902,3459.429932,3392.429932,3446.189941,3446.189941,134710000
1993-05-05,3446.199951,3468.750000,3427.229980,3468.750000,3468.750000,123020000
1993-05-12,3468.800049,3483.139893,3422.520020,3444.389893,3444.389893,111970000
1993-05-19,3444.399902,3524.110107,3415.330078,3516.629883,3516.629883,126000000
1993-05-26,3516.600098,3569.780029,3510.270020,3552.340088,3552.340088,85240000
1993-06-02,3552.300049,3562.300049,3506.110107,3510.540039,3510.540039,93340000
1993-06-09,3510.500000,3530.750000,3483.969971,3492.000000,3492.000000,103100000
1993-06-16,3492.000000,3528.300049,3475.939941,3497.530029,3497.530029,116300000
1993-06-23,3497.500000,3531.580078,3462.659912,3518.850098,3518.850098,105740000
1993-06-30,3518.899902,3525.770020,3449.929932,3449.929932,3449.929932,85350000
