Date,Log Returns
1992-12-30,0.1129954544345404
1993-01-06,0.08233273471596636
1993-01-13,0.14149922324303077
1993-01-20,0.12945898421108826
1993-01-27,0.11106213146147237
1993-02-03,0.08883464791771267
1993-02-10,0.060368291773856164
1993-02-17,0.04714889410444201
1993-02-24,0.0662909820199804
1993-03-03,0.0998986017286283
1993-03-10,0.10960799046989766
1993-03-17,0.08718375092983965
1993-03-24,0.12804862898642888
1993-03-31,0.1326928989824392
1993-04-07,0.12473585535156584
1993-04-14,0.1407632212101353
1993-04-21,0.15231589449640381
1993-04-28,0.14253720815112203
1993-05-05,0.15675017550941206
1993-05-12,0.16357889286067007
1993-05-19,0.1884694874009334
1993-05-26,0.17844431773490932
1993-06-02,0.18112996235733014
1993-06-09,0.2120947657374055
1993-06-16,0.21599071916724188
1993-06-23,0.2182630119394302
1993-06-30,0.230945697058762
1993-07-07,0.2083724445629258
1993-07-14,0.21056101014335749
1993-07-21,0.20401594935448752
1993-07-28,0.1985682531096602
1993-08-04,0.22674803002558708
1993-08-11,0.24726564900301007
1993-08-18,0.28249931016252194
1993-08-25,0.27257594642635485
1993-09-01,0.2580845304843242
1993-09-08,0.2201656705876065
1993-09-15,0.22972220475171223
1993-09-22,0.2791890946348605
1993-09-29,0.28970006302407736
1993-10-06,0.29270899453670385
1993-10-13,0.2600254248259164
1993-10-20,0.24864361115065314
1993-10-27,0.2619900643084856
1993-11-03,0.20402479237149596
1993-11-10,0.2075247292602036
1993-11-17,0.14511757830566285
1993-11-24,0.14287858126247954
1993-12-01,0.1425760390243953
1993-12-08,0.1439057057708144
1993-12-15,0.13404005108355488
1993-12-22,0.13350147969495918
1993-12-29,0.13819912793411593
1994-01-05,0.1450622792940255
1994-01-12,0.12933569333240236
1994-01-19,0.10619596119470742
1994-01-26,0.12278775614857729
1994-02-02,0.12286008657147551
1994-02-09,0.17181146887128396
1994-02-16,0.1943636838147249
1994-02-23,0.1515757814777814
1994-03-02,0.13952964306831905
1994-03-09,0.13189093534278928
1994-03-16,0.16525434844604714
1994-03-23,0.09585975950785475
1994-03-30,0.12284609442016148
1994-04-06,0.09261765820024692
1994-04-13,0.07405079205132203
1994-04-20,0.1179533004826121
1994-04-27,0.08641525699243502
1994-05-04,0.05958895433967104
1994-05-11,0.0441643126486726
1994-05-18,0.05108680214042138
1994-05-25,0.04295292639328796
1994-06-01,0.07229293134009929
1994-06-08,0.05392978185295405
1994-06-15,0.03155978344794619
1994-06-22,0.0013968600872891201
1994-06-29,0.001949134571101574
1994-07-06,0.001579702176918829
1994-07-13,0.024515353099129555
1994-07-20,0.020697269081572323
1994-07-27,0.022026093263287194
1994-08-03,0.007682202680832084
1994-08-10,0.006136996511664883
1994-08-17,0.017315235241111004
1994-08-24,0.031301825724050936
1994-08-31,0.026862572882856206
1994-09-07,0.04430576581058343
1994-09-14,0.044238356704231485
1994-09-21,-0.010914939767239673
1994-09-28,-0.019834154993992215
1994-10-05,-0.008959592414906403
1994-10-12,-0.005086379515549133
1994-10-19,-0.009450641111975244
1994-10-26,-0.01729345817989003
1994-11-02,-0.0029921694162311496
1994-11-09,-0.003465914590873531
1994-11-16,-0.007540185977440217
1994-11-23,-0.0038649267627182127
1994-11-30,-0.03723502979272375
1994-12-07,-0.043488635854038726
1994-12-14,-0.03655047889937624
1994-12-21,-0.024320240197411636
1994-12-28,-0.040457220564289464
1995-01-04,-0.03761694746477939
1995-01-11,-0.026682567057657813
1995-01-18,-0.029932735794289123
1995-01-25,-0.054173119430140915
1995-02-01,-0.004776999153226491
1995-02-08,0.0006326151294180349
1995-02-15,-0.008288095726624256
1995-02-22,0.006433365864423557
1995-03-01,-0.0009977935009688466
1995-03-08,0.018380262105022638
1995-03-15,0.016736377417692516
1995-03-22,0.08966251650946955
1995-03-29,0.08027720321360743
1995-04-05,0.10958178809754937
1995-04-12,0.14700895595207708
1995-04-19,0.12417159522923438
1995-04-26,0.12973208534590697
1995-05-03,0.15690941250042378
1995-05-10,0.19907613675295988
1995-05-17,0.18445658156204914
1995-05-24,0.15529065972471656
1995-05-31,0.17353610770656047
1995-06-07,0.19476007314102262
1995-06-14,0.2714425322217284
1995-06-21,0.2698906831275085
1995-06-28,0.2838479216244929
1995-07-05,0.3128354435150822
1995-07-12,0.31791268947188644
1995-07-19,0.32828050985237933
1995-07-26,0.31292977385395027
1995-08-02,0.3220014820131052
1995-08-09,0.3194852409985698
1995-08-16,0.31535460351313294
1995-08-23,0.2696061447642606
1995-08-30,0.31366877350008604
1995-09-06,0.32976984295025424
1995-09-13,0.32417822960545806
1995-09-20,0.31789159051476634
1995-09-27,0.31153230234026097
1995-10-04,0.2504664410103956
1995-10-11,0.3029542448030842
1995-10-18,0.31521859820798337
1995-10-25,0.29394975682346836
1995-11-01,0.30752843470082336
1995-11-08,0.30245496057071986
1995-11-15,0.3241541100345877
1995-11-22,0.3345485389449312
1995-11-29,0.3632544824652033
1995-12-06,0.3799722658890925
1995-12-13,0.34282122306580654
1995-12-20,0.3409649961701442
1995-12-27,0.3532734310051211
1996-01-03,0.2778355715104368
1996-01-10,0.2544508217966026
1996-01-17,0.297889257842872
1996-01-24,0.330800188469623
1996-01-31,0.33511604473622825
1996-02-07,0.31856179041245447
1996-02-14,0.32251230209254445
1996-02-21,0.33191558925831366
1996-02-28,0.3264462037558964
1996-03-06,0.2834013537848037
1996-03-13,0.3176023723912884
1996-03-20,0.27565377596805174
1996-03-27,0.3116605259302476
1996-04-03,0.29617193172490985
1996-04-10,0.3091872982284123
