Date,Log Returns
1992-12-30,0.03978264805533005
1993-01-06,0.024899127389656606
1993-01-13,0.05306927002294426
1993-01-20,0.0584790030130895
1993-01-27,0.06704982146989469
1993-02-03,0.07352943142660084
1993-02-10,0.0630907254826596
1993-02-17,0.057631979617679185
1993-02-24,0.08148563442084633
1993-03-03,0.11043493869498366
1993-03-10,0.09715517852663158
1993-03-17,0.09306651927183918
1993-03-24,0.11296854652372268
1993-03-31,0.1028048878382446
1993-04-07,0.08554320777720292
1993-04-14,0.08150786007314803
1993-04-21,0.06825773212368258
1993-04-28,0.06323469615231048
1993-05-05,0.06525285656374802
1993-05-12,0.05592747517514507
1993-05-19,0.08709847568053153
1993-05-26,0.09306513546964812
1993-06-02,0.08111887851828126
1993-06-09,0.08887292750818432
1993-06-16,0.09864806809583637
1993-06-23,0.09916945662704801
1993-06-30,0.07591315385470843
1993-07-07,0.07027852382602706
1993-07-14,0.07796574232602271
1993-07-21,0.07099635995843823
1993-07-28,0.05704190258703701
1993-08-04,0.07039242608894547
1993-08-11,0.07273897186037548
1993-08-18,0.11065007786149117
1993-08-25,0.10808228999130964
1993-09-01,0.10107567104723891
1993-09-08,0.09130214547267013
1993-09-15,0.08235983778064782
1993-09-22,0.10194059343218864
1993-09-29,0.12457648348886696
1993-10-06,0.11920994778798377
1993-10-13,0.11520165225344048
1993-10-20,0.10387789829451233
1993-10-27,0.10934378154110469
1993-11-03,0.09498002010954476
1993-11-10,0.10725725845835221
1993-11-17,0.0752983314518616
1993-11-24,0.06951274515163242
1993-12-01,0.06590493970744316
1993-12-08,0.0681124518349403
1993-12-15,0.05520331331182682
1993-12-22,0.07255742926485631
1993-12-29,0.07226608768878062
1994-01-05,0.09528064213951293
1994-01-12,0.08608976030784632
1994-01-19,0.06802714444813684
1994-01-26,0.08044068797750192
1994-02-02,0.05614866884098113
1994-02-09,0.08524290225867404
1994-02-16,0.08094811610600683
1994-02-23,0.03626240324765906
1994-03-02,0.02495024676411184
1994-03-09,0.034063300933718565
1994-03-16,0.043687966705143744
1994-03-23,0.001127779417966046
1994-03-30,0.01603273399275018
1994-04-06,-0.0036797819938509946
1994-04-13,-0.005768113321996005
1994-04-20,0.03115275278318741
1994-04-27,0.02002120456791978
1994-05-04,0.003706384757283132
1994-05-11,0.02034483951959576
1994-05-18,0.013190975353918333
1994-05-25,0.005866050101629661
1994-06-01,0.02990521057451989
1994-06-08,0.035441300178885804
1994-06-15,0.01205895354942399
1994-06-22,-0.010303840110235996
1994-06-29,0.01112875208660391
1994-07-06,-0.00031245033679105916
1994-07-13,0.014536885313521708
1994-07-20,0.011357697827522273
1994-07-27,0.024819117194254225
1994-08-03,0.01866988503861755
1994-08-10,0.025879861172197316
1994-08-17,0.010256767559063462
1994-08-24,0.026629094794826003
1994-08-31,0.02867841237289781
1994-09-07,0.016411698764655647
1994-09-14,0.02272248677677169
1994-09-21,0.0011260292822754536
1994-09-28,-0.014435909396941504
1994-10-05,0.010076606132418675
1994-10-12,0.003105387630016665
1994-10-19,-0.005983814099958629
1994-10-26,-4.267233030130768e-05
1994-11-02,0.011490670737714481
1994-11-09,-0.003670418536619202
1994-11-16,-0.02401556075223521
1994-11-23,-0.014439257675089578
1994-11-30,-0.02968033985400531
1994-12-07,-0.02827578377836204
1994-12-14,-0.01778013459686001
1994-12-21,-0.018149009467501642
1994-12-28,-0.016803915919566315
1995-01-04,-0.026609561000550563
1995-01-11,-0.008895562319763073
1995-01-18,-0.010803128210840285
1995-01-25,-0.01936817295453075
1995-02-01,0.02050795749427259
1995-02-08,0.02100446668437428
1995-02-15,0.02360253372818022
1995-02-22,0.04823227166260313
1995-03-01,0.034264934382452594
1995-03-08,0.05393536371870411
1995-03-15,0.054522968185948706
1995-03-22,0.10763423620080736
1995-03-29,0.11959317961549942
1995-04-05,0.12177441619956042
1995-04-12,0.1327599481949875
1995-04-19,0.12512535482289078
1995-04-26,0.1279366436645022
1995-05-03,0.16031023738912697
1995-05-10,0.16160948052564006
1995-05-17,0.15033339025008807
1995-05-24,0.1371011686429453
1995-05-31,0.15596665913340058
1995-06-07,0.14786199236942021
1995-06-14,0.18852813316231654
1995-06-21,0.19558312585643467
1995-06-28,0.20346517875439663
1995-07-05,0.21389004520489951
1995-07-12,0.20739428753498412
1995-07-19,0.21321262120872664
1995-07-26,0.194850610643015
1995-08-02,0.20193847191652736
1995-08-09,0.18332102667069528
1995-08-16,0.18609620098447444
1995-08-23,0.16237186678261395
1995-08-30,0.1874968297775288
1995-09-06,0.20957194269397927
1995-09-13,0.23173915310949234
1995-09-20,0.22978305703759627
1995-09-27,0.24765861094494834
1995-10-04,0.2150082003613294
1995-10-11,0.22690846722886526
1995-10-18,0.23969377437279782
1995-10-25,0.2162456148455938
1995-11-01,0.23043146147401483
1995-11-08,0.23681646759631825
1995-11-15,0.28788200469755054
1995-11-22,0.2869513004377948
1995-11-29,0.3098356241596436
1995-12-06,0.31816899719685043
1995-12-13,0.29171568698242645
1995-12-20,0.2839016964893508
1995-12-27,0.30160637246634714
1996-01-03,0.27768493555103557
1996-01-10,0.25805926123527634
1996-01-17,0.274137136249311
1996-01-24,0.2923319840473928
1996-01-31,0.2958380580520732
1996-02-07,0.3139277615477516
1996-02-14,0.28304654593519185
1996-02-21,0.2836524983537183
1996-02-28,0.3076475468462938
1996-03-06,0.2566249194090071
1996-03-13,0.2748698109544101
1996-03-20,0.2591533182221468
1996-03-27,0.2599985745856088
1996-04-03,0.23927683127301957
1996-04-10,0.24395949242085546
1996-04-17,0.24088033706749634
