DATE,CUUR0000SA0R
2016-02-01,42.200
2016-03-01,42.000
2016-04-01,41.800
2016-05-01,41.600
2016-06-01,41.500
2016-07-01,41.600
2016-08-01,41.500
2016-09-01,41.400
2016-10-01,41.400
2016-11-01,41.400
2016-12-01,41.400
2017-01-01,41.200
2017-02-01,41.100
2017-03-01,41.000
2017-04-01,40.900
2017-05-01,40.900
2017-06-01,40.800
2017-07-01,40.900
2017-08-01,40.700
2017-09-01,40.500
2017-10-01,40.500
2017-11-01,40.500
2017-12-01,40.600
2018-01-01,40.300
2018-02-01,40.200
